"","docID","rawText","modelpredictions"
"1",1267545475747627008,"rt sweetgangster vica secretly gazing at jack its obvious how she feels about him but what about our pumpkin guy panaceagame t<U+2026>",0.351507370626798
"2",1267992672255475712,"don<U+2019>t put up unnecessary walls <U+0001F4F8> singaporemaven covid stayhome scotland visitscotland stayhomemusings<U+2026> httpstcopzunvzsa",0.108863679084984
"3",1267658203115876352,"rt idpcasia around the world prisons are becoming increasingly overcrowded humanrights abuses are rampant from denial of basic heal<U+2026>",0.351507370626798
"4",1267547663580508160,"rt barbarellen all this reminds me of a zombie movie i went to see years ago people were so ingrained with the habit of shopping that t<U+2026>",0.0195162302631153
"5",1267929184632025088,"srry for spam but inverted the first rainbow flag one cus i might like it better like this httpstcouokomvjdf",0.0572808569025626
"6",1267992146813939712,"duncantrussell im organizing a zombie crawl in downtown los angeles for tomorrow night lets really scare the<U+2026> httpstcowrvapagfx",0.0601788324629929
"7",1267487375845756928,"welcome to phase of the zombie apocalypse",0.0601788324629929
"8",1268006417174351872,"i was so excited to vote nycmayor i did it ce it was my st time voting and i researched who to chose and felt<U+2026> httpstcomhfhormdz",0.5
"9",1267957907733262336,"rt cantguardcourt denver said it would not arrest protesters for being out past curfew and look at the results",0.388085407790974
"10",1267592639538442240,"freakymahdi i cant <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> i was thinking how can i fix that",0.5
"11",1267655484720455680,"rt nehabhagatjk first leader to respond nd alert the govton covid nd economic crises rahulgandhi first leader to demand for stimu<U+2026>",0.0621044512478
"12",1267294605009133568,"antifa suck it httpstcobttniducx",0.882385400007654
"13",1265433561852772352,"vampire nighthawk mtg artist jason chan httpstcohvaisqp",0.100945418704749
"14",1267982377940377600,"ksvesq paid for by our tax dollars",0.5
"15",1267998690754600960,"rt mitzienscene cops gassing a crowd on a rainbow crosswalkits pride month all right httpstcouulamlhpld",0.0287324412890837
"16",1267657044057706496,"rt sanianishtar with great humility amp guided by a rules amp transparency driven approach our government has crossed the rs bln mark w<U+2026>",0.351507370626798
"17",1267291159006674944,"rt puestoloco chrismurphyct thats not even the most dangerous fold recently trump designating this amorphous thing called antifa giv<U+2026>",0.802627162904337
"18",1267607098034130944,"sliftythend cycles dive zombie try all by jade novah",0.0601788324629929
"19",1267298900672761856,"rt mitchellvii taking down antifa as a terrorist organization should be tball for ag barr if he cant get this done right and right<U+2026>",0.802627162904337
"20",1267604446370037760,"rainbow over nycprotest in the east village nyc stay safe y<U+2019>all httpstcodaiwalk",0.0594234091567435
"21",1267601203543842816,"prayersampthoughts for your loss of your dog isaboo rachelampjohn she was delight to watch im going to miss her how sh<U+2026> httpstcorwhjnntv",0.5
"22",1267304135839199232,"rt tasilove out protesting blacklivesmatter httpstcoulhssuwnq",0.842519116601784
"23",1267981836787036160,"exo rainbow <U+0001F64C><U+0001F3FC><U+0001F308>weareoneexo",0.0594234091567435
"24",1267845308949704704,"unicornbeacon entropy for beacon n<U+00B0> is the brisk red wolf dashed beyond the lazy dingo and woofed bark yelp",0.202011644335726
"25",1265443932642652160,"what do you think is going to happen to companions mtg httpstcojqyxkcyz",0.100945418704749
"26",1267536275596337152,"she talking bout a unicorn sleep over an i told her she can invite girls",0.045134068654926
"27",1267740315865227264,"ordered a few mini paints lately and threw a mtg deck builders toolkit into the basket as well this is basica<U+2026> httpstcotytwkzqj",0.100945418704749
"28",1266537562438590464,"rt terminatorlx fernalfonso whoever started throwing things at cnn is a plant to make the protestors look bad i have protested dozens o<U+2026>",0.863439111822084
"29",1267602225532043264,"hamacheese<U+2019>s rainbow aesthetic is literally everything i have ever strived for in my life",0.0594234091567435
"30",1267990546510995456,"rt clowntownrl themilkmanbilly out there styling <U+0001F60D> check us out on instagram <U+0001F921><U+0001F921> httpstcogemjaws rocketleague clowntown t<U+2026>",0.351507370626798
